,Density,Efficiency of the LCC,# of connected components,# of communities,Fraction of nodes in the LCC,Connected components entropy,Fraction of nodes in the center in the LCC,Fraction of nodes in the periphery in the LCC,Fraction of nodes in the barycenter in the LCC,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Mean Assortativity coefficient of the LCC,Mean shortest path length of the LCC,Average eccentricity of the LCC,Average degree,Average communicability of the LCC,Average node similarity of the LCC,Average node betweenness centrality,Average edge betweenness centrality
pre2_09DIV_CS3_FOV3,0.007434880110401932,0.10531067245450668,53.0,288.0,0.8152492668621701,0.298359613133578,0.01079136690647482,0.017985611510791366,0.0035971223021582736,0.2912885662431942,0.2074430945398687,0.05681901623459953,0.8732753376650643,0.09474199070677293,0.05329098553059441,0.10469314079422383,2.527859237536657,1.178663286763304e-16,0.0,0.026963443099192283,0.02274986622010663
pre2_09DIV_CS2_FOV3,0.011759504862953138,0.14016293566076846,31.0,230.0,0.8505747126436781,0.2634544179258553,0.009009009009009009,0.009009009009009009,0.0045045045045045045,0.32465419039869814,0.2742565225323845,0.06801664440102392,0.795064101356147,0.23231293517220714,0.049381971394215206,0.1085972850678733,3.057471264367816,4.2613272123199347e-13,0.0,0.02767462422634835,0.01977770834395155
pre1_09DIV_CS2_FOV3,0.011490991630018443,0.13723847771234396,30.0,236.0,0.8571428571428571,0.2568862844418499,0.008771929824561403,0.008771929824561403,0.0043859649122807015,0.3002481389578164,0.22456140350877202,0.057222682922164037,0.7899618960524311,0.2709129094941802,0.04867860135307899,0.09691629955947137,3.045112781954887,1.4557484991767344e-13,0.0,0.02795163294170244,0.02003422252346449
pre1_09DIV_CS3_FOV3,0.007420839726600642,0.11327754171322302,34.0,502.0,0.9365671641791045,0.12971195331207713,0.00199203187250996,0.00597609561752988,0.00199203187250996,0.3544056626800098,0.342136045960674,0.08413662668703008,0.8169280697043361,0.21998714935422387,0.025173531871613152,0.05189620758483034,3.970149253731343,1.9905951886833861e-16,0.0,0.019071566978715603,0.010395931155130121
pre1_09DIV_CS3_FOV2,0.006724511930585683,0.11071013573322593,54.0,407.0,0.8459869848156182,0.24813332755326556,0.007692307692307693,0.007692307692307693,0.002564102564102564,0.3169203222918532,0.2598078710876974,0.05488496778562173,0.8470353227675175,0.20881758219369972,0.033683124632827584,0.06426735218508997,3.0932754880694144,2.1163626406917047e-16,0.0,0.01886745581315929,0.013150754258731405
pre1_09DIV_CS2_FOV2,0.012015503875968992,0.14226129671050625,33.0,183.0,0.7870370370370371,0.33833910043750004,0.01764705882352941,0.041176470588235294,0.0058823529411764705,0.2749658002735978,0.20626102292768952,0.05974077019465358,0.8228118857671406,0.2095057287011237,0.06341802993386704,0.11834319526627218,2.5833333333333335,5.319863473352004e-13,0.0,0.028106611284181387,0.023785112944902896
pre2_09DIV_CS3_FOV4,0.007458148313884777,0.10858353596544633,41.0,377.0,0.8947368421052632,0.19430497666767807,0.0053475935828877,0.008021390374331552,0.00267379679144385,0.3116883116883117,0.2658692185007974,0.05813665881532597,0.8432461538461538,0.12902726716814927,0.03679753522324509,0.06970509383378017,3.110047846889952,1.7932703932910243e-16,0.0,0.024482116551881778,0.016899899292932254
pre2_09DIV_CS2_FOV4,0.006825347580464787,0.10946491161292086,50.0,477.0,0.9013282732447818,0.17999358363327206,0.002105263157894737,0.004210526315789474,0.002105263157894737,0.35345838218053927,0.3252688172043015,0.07385277610153004,0.837264056067832,0.2068317511111632,0.027567912999397495,0.052742616033755275,3.5901328273244784,1.6937948439654793e-16,0.0,0.018669060657502307,0.011219346793958394
pre1_09DIV_CS2_FOV1,0.007967517045889834,0.17291065944951328,78.0,151.0,0.39737991266375544,0.6325879603641286,0.01098901098901099,0.03296703296703297,0.01098901098901099,0.265658747300216,0.12622166770638385,0.030578393916446622,0.8304826183431957,0.09289249843817605,0.10582824582824582,0.2222222222222222,1.8165938864628821,1.0188855105152173e-10,0.0,0.006756088613315215,0.008322762524382844
pre1_09DIV_CS3_FOV1,0.007503739194362056,0.11348989680009913,37.0,450.0,0.9158110882956879,0.16264323843296988,0.017937219730941704,0.004484304932735426,0.002242152466367713,0.3418669996877927,0.3018138261464756,0.07196781582175393,0.8278257142277415,0.2431164183048826,0.02839606132984749,0.056179775280898875,3.646817248459959,2.285227129056322e-16,0.0,0.020118742996497022,0.011932639537400364
pre3_09DIV_CS1_FOV3,0.006173044925124792,0.10685969836222954,66.0,535.0,0.8901830282861897,0.19188241050652982,0.007476635514018692,0.005607476635514018,0.001869158878504673,0.35402843601895734,0.32826902252859114,0.07871808778175804,0.8127011573586358,0.17920556920556857,0.025125555147843,0.04868913857677903,3.703826955074875,1.3617579286417936e-16,0.0,0.016423314138835566,0.009550614205434788
pre1_09DIV_CS4_FOV3,0.006793743890518084,0.11277426140351447,53.0,443.0,0.8850806451612904,0.2020718268007637,0.009111617312072893,0.009111617312072893,0.002277904328018223,0.32335329341317365,0.28641513056835644,0.06454389619276382,0.8311264657338878,0.15899200035586994,0.028865233564153943,0.05707762557077625,3.3629032258064515,2.1694885471434944e-16,0.0,0.01845828666711518,0.01187247660327263
pre1_09DIV_CS4_FOV2,0.006860063897763578,0.10845167647730891,37.0,589.0,0.9408945686900958,0.12066441301600861,0.0050933786078098476,0.006791171477079796,0.001697792869269949,0.3678935860058309,0.3749594299913802,0.08944944083960617,0.786911620665377,0.09958941897807691,0.022390384956403362,0.04251700680272109,4.287539936102236,1.4560835176480325e-16,0.0,0.017257794707954438,0.008684100312822874
pre3_09DIV_CS1_FOV2,0.00857956857956858,0.12265174521221259,38.0,313.0,0.8746438746438746,0.22575562941087074,0.016286644951140065,0.006514657980456026,0.003257328990228013,0.30670926517571884,0.2567358567358567,0.0675631849333612,0.8346751689596691,0.10857844338997368,0.037885773769742226,0.0718954248366013,3.0028490028490027,1.898180506006153e-15,0.0,0.02321035856852477,0.01682210684108216
pre2_09DIV_CS4_FOV4,0.00681977051472218,0.14617068454659388,69.0,274.0,0.478134110787172,0.5417763905290596,0.012195121951219513,0.018292682926829267,0.006097560975609756,0.29791459781529295,0.18428432597528813,0.045204198799665925,0.8648249999999996,0.2970270511561476,0.06751587445115295,0.147239263803681,2.3323615160349855,2.117047476993955e-12,0.0,0.007203707595239417,0.006790104512983132
pre1_09DIV_CS4_FOV1,0.010523640061006609,0.1274248143350771,27.0,254.0,0.896797153024911,0.20170237094774257,0.023809523809523808,0.011904761904761904,0.003968253968253968,0.29442970822281167,0.2608540925266905,0.0652472244552751,0.8302819202315107,0.09956520273686188,0.04539522300351494,0.08366533864541832,2.9466192170818504,1.4904202004506484e-14,0.0,0.029949999362236742,0.02212570210404035
pre3_09DIV_CS1_FOV1,0.0069245317552315295,0.10586013706144363,51.0,393.0,0.8851351351351351,0.2047581899515244,0.002544529262086514,0.017811704834605598,0.002544529262086514,0.30484330484330485,0.2490561990561988,0.05527955483146713,0.8479841987575495,0.1594922063894509,0.0351981402469073,0.0663265306122449,3.0675675675675675,1.6089560239684886e-16,0.0,0.022677782835796387,0.015869052692473316
pre2_09DIV_CS4_FOV5,0.004734155486289922,0.10010320567931613,127.0,344.0,0.6157112526539278,0.48347961752831453,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.3107067879636109,0.1996057021534728,0.039905679096133385,0.8690562904259658,0.19184210639681923,0.06022668674283445,0.12802768166089964,2.225053078556263,1.0105441873922705e-16,0.0,0.013265155453252776,0.012602144108150934
pre1_09DIV_CS4_FOV5,0.009408403526919856,0.16309243219975142,53.0,149.0,0.3811881188118812,0.6582211002718205,0.05194805194805195,0.03896103896103896,0.012987012987012988,0.2983425414364641,0.18234323432343233,0.037236250047605134,0.8847345193388337,0.08026069100973086,0.15704482498111308,0.32894736842105265,1.891089108910891,2.9563105546022886e-12,0.0,0.008753263386040096,0.010106019588440054
